0,0,0,C43H56O24               
0,0,0,C43H56O24               
0,0,0,C44H40O8               
0,0,0,C44H45O25               
0,0,0,C44H47O24               
0,0,0,C44H47O25               
0,0,0,C44H50O25               
0,0,0,C44H50O26               
0,0,0,C44H51O23               
0,0,0,C44H51O24               
0,0,0,C44H51O25               
0,0,0,C44H58O25               
0,0,0,C45H49O25               
0,0,0,C45H49O26               
0,0,0,C45H49O27               
0,0,0,C45H52O24               
0,0,0,C45H53O24               
0,0,0,C45H56O23               
0,0,0,C45H60O24               
0,0,0,C46H51O27               
0,0,0,C46H55O26               
0,0,0,C47H55O27               
0,0,0,C48H40O27               
0,0,0,C48H56O26               
0,0,0,C48H56O27               
0,0,0,C48H56O29               
0,0,0,C48H57O28               
0,0,0,C48H57O29               
0,0,0,C49H40O29               
0,0,0,C49H58O26               
0,0,0,C49H59O28               
0,0,0,C49H59O29               
0,0,0,C50H57O30               
0,0,0,C51H46O9               
0,0,0,C51H53O25               
0,0,0,C51H53O26               
0,0,0,C51H53O27               
0,0,0,C51H53O28               
0,0,0,C51H59O32               
0,0,0,C52H55O25               
0,0,0,C52H55O26               
0,0,0,C52H55O27               
0,0,0,C55H73CoN11O15               
0,0,0,C55H77CoN15O11               
0,0,0,C57H61O34               
0,0,0,C57H63O30               
0,0,0,C57H63O31               
0,0,0,C57H63O32               
0,0,0,C58H59O36               
0,0,0,C58H63O32               
0,0,0,C58H63O33               
0,0,0,C58H65O31               
0,0,0,C59H67O30               
0,0,0,C59H67O31               
0,0,0,C59H67O32               
0,0,0,C60H63O37               
